数据库：年度数据,,,,,,,,,,,,,,,,
时间：1949-,,,,,,,,,,,,,,,,
时间,支出法生产总值(亿元),最终消费(亿元),居民消费(亿元),城镇居民消费(亿元),农村居民消费(亿元),政府消费(亿元),资本形成总额(亿元),固定资本形成总额(亿元),存货变动(亿元),货物和服务净出口(亿元),最终消费率(%),资本形成率(%),,固定资产投资占比,全社会固定资产投资,投资率
2021年,1140340.1,620921,438849.4,,,182071.6,489897.2,478901.2,10996,29521.9,54.5,43,0.419963483,0.42960622,552884.2,0.484841496
2020年,1025628.4,560811.1,387185.8,304086.3,83099.5,173625.4,439550.3,430624.9,8925.4,25266.9,54.7,42.9,0.419864446,0.428566818,527270,0.514094579
2019年,990708.4,552631.7,387188.1,305130.7,82057.4,165443.6,426678.7,422451.3,4227.4,11397.9,55.8,43.1,0.426413362,0.43068041,513608,0.518424998
2018年,915774.3,506134.9,354124.4,277365.3,76759.1,152010.6,402585.2,393847.9,8737.3,7054.2,55.3,44,0.430070925,0.439611813,488499,0.533427287
2017年,828982.8,456518.2,320689.5,252083.3,68606.2,135828.7,357886.1,348300.1,9586,14578.4,55.1,43.2,0.420153591,0.43171716,461284,0.556445803
2016年,745980.5,410806.4,288668.2,226960.2,61708,122138.3,318198.5,310144.8,8053.7,16975.6,55.1,42.7,0.415754567,0.426550694,434364,0.582272593
2015年,692093.7,371920.7,260202.4,203779.6,56422.9,111718.2,297826.5,289970.2,7856.3,22346.5,53.7,43,0.41897535,0.430326847,405928,0.586521738
2014年,646548,338031.2,236238.5,184738.8,51499.7,101792.7,294906.1,282241.6,12664.4,13610.8,52.3,45.6,0.436536189,0.456124062,373637,0.577895222
2013年,596344.5,306663.7,212477.3,165889.5,46587.8,94186.4,275128.7,263979.9,11148.8,14552.1,51.4,46.1,0.442663427,0.461358661,329318,0.552227781
2012年,539039.9,275443.9,190584.8,148273.2,42311.6,84859.1,248960,238320.7,10639.3,14636,51.1,46.2,0.442120704,0.461858204,281684,0.52256614
2011年,484109.3,244747.3,170390.8,131555.2,38835.6,74356.5,227673.5,214017.2,13656.3,11688.5,50.6,47,0.442084463,0.470293589,238782,0.493239853
2010年,408505.4,201581.4,141465.5,108938.4,32527.1,60115.9,191866.9,181041.1,10825.8,15057.1,49.3,47,0.443179209,0.469680205,218834,0.535694265
2009年,347650.3,174538.6,123121.9,93197.7,29924.2,51416.7,158074.5,152691.1,5383.4,15037.1,50.2,45.5,0.439208883,0.454693984,181760,0.522824229
2008年,318067.6,158899.2,112654.7,84413.9,28240.7,46244.5,134941.6,124700.7,10240.9,24226.8,50,42.4,0.392057223,0.424254467,144587,0.454579467
2007年,270499.4,137737.1,98231.3,72642.8,25588.5,39505.8,109339.3,102344.6,6994.6,23423.1,50.9,40.4,0.378354259,0.404212727,118323,0.43742426
2006年,219597.5,115364.3,82842.4,60202.8,22639.6,32521.9,87578.6,84978.6,2600,16654.6,52.5,39.9,0.386974351,0.398814194,97583,0.44437209
2005年,187657.5,101872.5,74153.7,53241.7,20912,27718.8,75576,73852,1724,10209.1,54.3,40.3,0.393546754,0.402733704,80994,0.431605451
2004年,161355.6,89394.4,65724.8,46492.2,19232.6,23669.7,67725.6,63974.9,3750.7,4235.6,55.4,42,0.396483915,0.419728847,66235,0.410490866
2003年,137146.7,79735,58689.9,40914.9,17775,21045.1,54446.8,52574.5,1872.3,2964.9,58.1,39.7,0.383344988,0.396996792,53841,0.392579625
2002年,121326.7,74227.5,54667,37650.3,17016.7,19560.5,44005,42672.1,1332.9,3094.2,61.2,36.3,0.35171236,0.3626984,43500,0.358536085
2001年,110388.4,68661.1,50464.7,34167.2,16297.5,18196.5,39402.5,37087.6,2314.9,2324.7,62.2,35.7,0.335973707,0.356944208,37214,0.337118755
2000年,99799,63748.9,46863.3,31251.4,15611.8,16885.6,33667.1,32668.7,998.4,2383,63.9,33.7,0.327344963,0.337349072,32918,0.329842984
1999年,90095.1,56667.3,41845.8,27035.3,14810.6,14821.5,30891.2,29467,1424.2,2536.6,62.9,34.3,0.327065512,0.342873253,29855,0.331372072
1998年,84790.8,51501.8,38768.5,23893.7,14874.8,12733.3,29659.7,28014.5,1645.2,3629.3,60.7,35,0.330395515,0.349798563,28406,0.335012761
1997年,79415.8,47548.7,36585.8,21624.9,14961,10962.9,28317.1,24714.1,3603,3550,59.9,35.7,0.311198779,0.356567585,24941,0.314055893
1996年,71541.5,43122.3,33644.1,19489.1,14155,9478.1,26960.1,22723.3,4236.8,1459.1,60.3,37.7,0.317624036,0.376845607,22974,0.321128296
1995年,61050.4,36228.7,28065.6,16527.9,11537.7,8163.2,23823,19837.9,3985.1,998.6,59.3,39,0.324942998,0.390218574,20019,0.327909399
1994年,48410.3,28296.8,21443.2,12270.9,9172.3,6853.6,19479.4,16751,2728.4,634.1,58.5,40.2,0.346021405,0.402381311,17042,0.352032522
1993年,35576,20814.9,15694.9,8694.1,7000.7,5120.1,15440.5,13232,2208.5,-679.5,58.5,43.4,0.371936137,0.434014504,13072,0.367438723
1992年,27140.3,16239.3,12312.2,6365.6,5946.7,3927.1,10625.4,8252.8,2372.6,275.6,59.8,39.1,0.304079174,0.391498989,8080,0.297712258
1991年,21997.2,13625.6,10544.5,4971,5573.5,3081.1,7754,5656.3,2097.7,617.6,61.9,35.2,0.257137272,0.352499409,5595,0.254350554
1990年,18969.3,12012.4,9435,4194.2,5240.9,2577.4,6446.6,4527.4,1919.2,510.3,63.3,34,0.238669851,0.339843853,4517,0.238121596
1989年,17250.5,11043.7,8778,3913.1,4864.9,2265.7,6392.4,4399.1,1993.3,-185.5,64,37.1,0.255012898,0.370563172,4410,0.255644764
1988年,15210.5,9429.4,7532.1,3380.5,4151.6,1897.2,5932.2,4713.9,1218.3,-151.2,62,39,0.309910917,0.390006903,4754,0.312547254
1987年,12198,7643.5,6047.6,2576.1,3471.5,1595.9,4543.7,3720.4,823.3,10.8,62.7,37.2,0.30500082,0.372495491,3792,0.310870635
1986年,10390.3,6730.8,5293.5,2180.5,3113,1437.3,3914.6,3212.4,702.2,-255.2,64.8,37.7,0.309172979,0.376755243,3121,0.300376313
1985年,9108.1,5920.8,4627.4,1840.7,2786.7,1293.3,3554.4,2768.9,785.5,-367.1,65,39,0.304004128,0.390246045,2543,0.279202029
1984年,7290.1,4786.6,3689.5,1438.4,2251.2,1097.1,2502.2,2134.1,368.1,1.3,65.7,34.3,0.292739469,0.343232603,1833,0.25143688
1983年,6034.2,4061.2,3220.9,1196.5,2024.4,840.3,1922.2,1696.5,225.7,50.8,67.3,31.9,0.281147459,0.318550926,1430,0.236982533
1982年,5386.3,3576.8,2867.1,1049.7,1817.4,709.7,1718.4,1517.4,201,91.1,66.4,31.9,0.281714721,0.319031617,1230,0.228357128
1981年,4921.6,3278.2,2627.5,1017.2,1610.4,650.7,1626.3,1345.4,280.9,17.1,66.6,33,0.273366385,0.33044132,961,0.195261704
1980年,4540.5,2967.7,2336.9,922,1414.9,630.8,1587.5,1310.2,277.3,-14.7,65.4,35,0.288558529,0.349631098,910.9,0.200616672
1979年,4047.3,2579,2014,759.3,1254.6,565,1488.3,1162.5,325.8,-20,63.7,36.8,0.287228523,0.367726633,,
1978年,3605.6,2233.6,1759.1,666.7,1092.4,474.5,1383.3,1079.3,304,-11.4,61.9,38.4,0.299339916,0.383653206,,
1977年,3166.5,2055.3,1647.8,,,407.5,1101.1,914.1,187,10.1,,,0.288678351,0.347734091,,
1976年,2968.8,1967.2,1588.5,,,378.7,992.8,867.8,125,8.8,,,0.292306656,0.33441121,,
1975年,2949.9,1884.2,1528.5,,,355.7,1064.9,882.9,182,0.7,,,0.299298281,0.360995288,,
1974年,2739.8,1807.7,1467,,,340.7,939,751,188,-6.9,,,0.274107599,0.342725746,,
1973年,2672,1748.9,1432.5,,,316.4,908.3,669.3,239,14.8,,,0.250486527,0.339932635,,
1972年,2456.7,1640.7,1334.2,,,306.5,797.6,628.6,169,18.4,,,0.255871698,0.324663166,,
1971年,2395.1,1553,1262,,,291,826.4,610.4,216,15.6,,,0.25485366,0.345037785,,
1970年,2208.3,1456.7,1206.8,,,249.9,749.3,550.3,199,2.3,,,0.249196214,0.339310782,,
1969年,1861.2,1358,1127.7,,,230.3,490.7,411.7,79,12.4,,,0.221201375,0.263647109,,
1968年,1713,1270.7,1076.6,,,194.1,434.9,302.9,132,7.4,,,0.176824285,0.253882078,,
1967年,1711.6,1277.2,1081.5,,,195.7,428.1,326.1,102,6.3,,,0.190523487,0.25011685,,
1966年,1830.7,1249.4,1021.1,,,228.3,575.2,412.2,163,6.1,,,0.225159775,0.314196755,,
1965年,1634.3,1155.9,951.5,,,204.4,469.9,357.9,112,8.5,,,0.218992841,0.28752371,,
1964年,1446.8,1076,889.6,,,186.4,357.9,297.9,60,12.9,,,0.205902682,0.247373514,,
1963年,1298.3,1013.2,844.2,,,169,271.7,221.7,50,13.5,,,0.170761765,0.209273666,,
1962年,1181.7,986.2,838.7,,,147.5,182.9,179.9,3,12.6,,,0.152238301,0.154777016,,
1961年,1279.3,992.9,816.7,,,176.2,281,234,47,5.4,,,0.18291253,0.219651372,,
1960年,1506.9,924.6,741.7,,,182.9,581.9,479.9,102,0.4,,,0.318468379,0.386157011,,
1959年,1446.4,817,691.2,,,125.8,621.2,435.2,186,8.2,,,0.300884956,0.429480088,,
1958年,1286.1,850,724,,,126,429.6,330.6,99,6.5,,,0.257056216,0.334033123,,
1957年,1099,815.4,686.6,,,128.8,278.1,185.1,93,5.5,,,0.168425842,0.253048226,,
1956年,1030.1,771.3,646.8,,,124.5,254.8,216.8,38,4,,,0.210465003,0.247354626,,
1955年,931.8,721.9,602.6,,,119.3,218.9,142.9,76,-8.9,,,0.15335909,0.234921657,,
1954年,875,653.9,550,,,103.9,223.9,137.9,86,-2.7,,,0.1576,0.255885714,,
1953年,831.5,644.4,529.2,,,115.2,195.6,112.6,83,-8.4,,,0.135417919,0.235237523,,
1952年,690.2,546.3,453,,,93.3,151.8,78.8,73,-7.9,,,0.114169806,0.21993625,,
1951年,,,,,,,,,,,,,,,,
1950年,,,,,,,,,,,,,,,,
1949年,,,,,,,,,,,,,,,,
数据来源：国家统计局,,,,,,,,,,,,,,,,
